,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,facility_type_lcm,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sqft
17,39,16,1240,39,Project B-1,,,,2239,Gerlach Inc,54:28.2,54:29.6,2,5,FALSE,TRUE,1,4,8760,0.12,,1,640,24000,1,3750,3750,1250,0,0,0,0,3,3,210240,215140.5776,,418750,,51.37685435,,,,,,,1752000,0,1752000,1000
18,39,16,1240,39,Project B-1,,,,2239,Gerlach Inc,54:28.2,54:29.6,2,5,FALSE,TRUE,1,4,8760,0.12,,1,640,24000,1,3750,3750,1250,0,0,0,0,3,3,210240,215140.5776,,418750,,51.37685435,,,,,,,1752000,0,1752000,3000
19,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,7000
20,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,27
21,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,250000
22,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,720
23,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,700
24,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,50000
25,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,10000
26,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,100000
27,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,9000
28,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,25000
29,43,18,1237,40,Test,,,,2239,Brakus Group,34:41.4,34:42.7,2,5,FALSE,TRUE,1,2,8760,,,1,84,20000,1,8,4,2,0,0,0,0,4,2,0,0,,148.4,,0,,,,,,,1471.68,0,1471.68,225
30,44,19,1239,7,Acme Retail,52,Retail,Retail - Mall & Non-Mall,,Bartoletti and Sons,28:12.7,28:15.3,2,5,FALSE,TRUE,3,12,2040,0.1,,3,4716,4000,3,48,48,20,112,1060800,73.52941176,520,5,5,378.42,378.42,,1798.37865,,21.04228717,,,,,,,4845,1060.8,3784.2,50000
31,44,19,1239,7,Acme Retail,52,Retail,Retail - Mall & Non-Mall,,Bartoletti and Sons,28:12.7,28:15.3,2,5,FALSE,TRUE,3,12,2040,0.1,,3,4716,4000,3,48,48,20,112,1060800,73.52941176,520,5,5,378.42,378.42,,1798.37865,,21.04228717,,,,,,,4845,1060.8,3784.2,25000
32,44,19,1239,7,Acme Retail,52,Retail,Retail - Mall & Non-Mall,,Bartoletti and Sons,28:12.7,28:15.3,2,5,FALSE,TRUE,3,12,2040,0.1,,3,4716,4000,3,48,48,20,112,1060800,73.52941176,520,5,5,378.42,378.42,,1798.37865,,21.04228717,,,,,,,4845,1060.8,3784.2,20000
33,44,19,1239,7,Acme Retail,52,Retail,Retail - Mall & Non-Mall,,Bartoletti and Sons,28:12.7,28:15.3,2,5,FALSE,TRUE,3,12,2040,0.1,,3,4716,4000,3,48,48,20,112,1060800,73.52941176,520,5,5,378.42,378.42,,1798.37865,,21.04228717,,,,,,,4845,1060.8,3784.2,500
34,47,20,1234,42,Carver County Building Courts,,,,,Ankunding-Bogan,34:47.3,34:48.4,2,5,FALSE,TRUE,1,1,8760,0.08,,1,19,24000,1,50,50,50,0,0,0,0,50,50,665.76,665.76,,412.5,,161.3963636,,,,,,,8322,0,8322,3000
35,49,22,1238,45,test,,,,2217,Smitham and Sons,34:40.2,34:41.3,2,5,FALSE,TRUE,1,1,8760,,,1,458,10000,1,20,20,20,185,32412000,8.561643836,3700,25,25,0,0,,5600,,0,,,,,,,80241.6,32412,47829.6,20000
36,54,29,1367,20,YMCA - Idaho Falls,17,Exercise Center,Public assembly,2336,"Raynor, Ritchie and Ondricka",08:11.4,08:38.7,2,5,FALSE,TRUE,15,1740,3799.5,0.053,,15,2100180,19866.66667,15,10254,22112,1019,944.5,76431762,588.2352941,15138,70,171,5317.955181,5317.955181,,12821.56,2.41,41.4766626,155 N Corner St,Idaho Falls,ID,83402,43.48817,-112.03451,176770.539,76431.762,100338.777,
37,60,733,297,7,Acme Bakery,,,,,Bartoletti and Sons,26:42.0,26:56.0,2,5,FALSE,TRUE,34,312000,3433.666667,0.12,,34,1387200000,15538.46154,34,2629,2851,934,1391,105286960,1115.491184,16414,92,119,30198.6044,23813.62175,5000,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1329419.24,952065.42,377353.82,500
38,60,733,297,7,Acme Bakery,,,,,Bartoletti and Sons,26:42.0,26:56.0,2,5,FALSE,TRUE,34,312000,3433.666667,0.12,,34,1387200000,15538.46154,34,2629,2851,934,1391,105286960,1115.491184,16414,92,119,30198.6044,23813.62175,5000,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1329419.24,952065.42,377353.82,500
39,60,733,297,7,Acme Bakery,,,,,Bartoletti and Sons,26:42.0,26:56.0,2,5,FALSE,TRUE,34,312000,3433.666667,0.12,,34,1387200000,15538.46154,34,2629,2851,934,1391,105286960,1115.491184,16414,92,119,30198.6044,23813.62175,5000,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1329419.24,952065.42,377353.82,500
40,60,733,297,7,Acme Bakery,,,,,Bartoletti and Sons,26:42.0,26:56.0,2,5,FALSE,TRUE,34,312000,3433.666667,0.12,,34,1387200000,15538.46154,34,2629,2851,934,1391,105286960,1115.491184,16414,92,119,30198.6044,23813.62175,5000,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1329419.24,952065.42,377353.82,500
41,60,733,297,7,Acme Bakery,,,,,Bartoletti and Sons,26:42.0,26:56.0,2,5,FALSE,TRUE,34,312000,3433.666667,0.12,,34,1387200000,15538.46154,34,2629,2851,934,1391,105286960,1115.491184,16414,92,119,30198.6044,23813.62175,5000,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1329419.24,952065.42,377353.82,500
42,60,1048,525,7,Acme Bakery,,,,,Bartoletti and Sons,26:29.5,26:40.1,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,10,20,43,47,2432220,19.24540452,519.5,8,10,10398.0408,7939.680022,100,3708.89,0.47,214.0715961,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1417257.34,117222.9,500
43,60,1048,525,7,Acme Bakery,,,,,Bartoletti and Sons,26:29.5,26:40.1,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,10,20,43,47,2432220,19.24540452,519.5,8,10,10398.0408,7939.680022,100,3708.89,0.47,214.0715961,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1417257.34,117222.9,500
44,60,1048,525,7,Acme Bakery,,,,,Bartoletti and Sons,26:29.5,26:40.1,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,10,20,43,47,2432220,19.24540452,519.5,8,10,10398.0408,7939.680022,100,3708.89,0.47,214.0715961,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1417257.34,117222.9,500
45,60,1048,525,7,Acme Bakery,,,,,Bartoletti and Sons,26:29.5,26:40.1,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,10,20,43,47,2432220,19.24540452,519.5,8,10,10398.0408,7939.680022,100,3708.89,0.47,214.0715961,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1417257.34,117222.9,500
46,60,1048,525,7,Acme Bakery,,,,,Bartoletti and Sons,26:29.5,26:40.1,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,10,20,43,47,2432220,19.24540452,519.5,8,10,10398.0408,7939.680022,100,3708.89,0.47,214.0715961,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1417257.34,117222.9,500
47,60,1346,594,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.3,26:30.7,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,79,89,66,147,6812220,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1137511.62,396968.62,500
48,60,1346,594,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.3,26:30.7,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,79,89,66,147,6812220,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1137511.62,396968.62,500
49,60,1346,594,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.3,26:30.7,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,79,89,66,147,6812220,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1137511.62,396968.62,500
50,60,1346,594,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.3,26:30.7,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,79,89,66,147,6812220,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1137511.62,396968.62,500
51,60,1346,594,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.3,26:30.7,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,79,89,66,147,6812220,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534480.24,1137511.62,396968.62,500
52,60,1687,608,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.2,26:30.7,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534060.24,1016280.7,517779.54,500
53,60,1687,608,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.2,26:30.7,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534060.24,1016280.7,517779.54,500
54,60,1687,608,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.2,26:30.7,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534060.24,1016280.7,517779.54,500
55,60,1687,608,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.2,26:30.7,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534060.24,1016280.7,517779.54,500
56,60,1687,608,7,Acme Bakery,,,,,Bartoletti and Sons,26:20.2,26:30.7,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,1534060.24,1016280.7,517779.54,500
57,60,4661,4626,7,Acme Bakery,,,,,Bartoletti and Sons,26:08.7,26:20.0,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,56,66,43,47,2432220,19.24540452,519.5,8,10,10290.4674,7871.309572,100,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,601172.68,116017.08,500
58,60,4661,4626,7,Acme Bakery,,,,,Bartoletti and Sons,26:08.7,26:20.0,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,56,66,43,47,2432220,19.24540452,519.5,8,10,10290.4674,7871.309572,100,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,601172.68,116017.08,500
59,60,4661,4626,7,Acme Bakery,,,,,Bartoletti and Sons,26:08.7,26:20.0,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,56,66,43,47,2432220,19.24540452,519.5,8,10,10290.4674,7871.309572,100,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,601172.68,116017.08,500
60,60,4661,4626,7,Acme Bakery,,,,,Bartoletti and Sons,26:08.7,26:20.0,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,56,66,43,47,2432220,19.24540452,519.5,8,10,10290.4674,7871.309572,100,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,601172.68,116017.08,500
61,60,4661,4626,7,Acme Bakery,,,,,Bartoletti and Sons,26:08.7,26:20.0,2,5,FALSE,TRUE,7,312000,3433.666667,0.12,,7,285600000,15538.46154,7,56,66,43,47,2432220,19.24540452,519.5,8,10,10290.4674,7871.309572,100,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,601172.68,116017.08,500
62,60,4665,4630,7,Acme Bakery,,,,,Bartoletti and Sons,26:07.8,26:20.1,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,716769.76,198990.22,517779.54,500
63,60,4665,4630,7,Acme Bakery,,,,,Bartoletti and Sons,26:07.8,26:20.1,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,716769.76,198990.22,517779.54,500
64,60,4665,4630,7,Acme Bakery,,,,,Bartoletti and Sons,26:07.8,26:20.1,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,716769.76,198990.22,517779.54,500
65,60,4665,4630,7,Acme Bakery,,,,,Bartoletti and Sons,26:07.8,26:20.1,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,716769.76,198990.22,517779.54,500
66,60,4665,4630,7,Acme Bakery,,,,,Bartoletti and Sons,26:07.8,26:20.1,2,5,FALSE,TRUE,22,312000,3433.666667,0.12,,22,897600000,15538.46154,22,3586,4902,831,611,59444360,548.8145416,8557,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709,43.617065,-116.20592,716769.76,198990.22,517779.54,500
67,60,6359,6324,7,Acme Bakery,,,,,Bartoletti and Sons,26:06.6,26:19.3,2,5,FALSE,TRUE,1,312000,3433.666667,0.12,,1,40800000,15538.46154,1,231,231,33,24.5,609560,4.684931507,115.5,7,7,7.2782,4.447103439,,2448.6,,0.181618208,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,717102.68,87.08,500
68,60,6359,6324,7,Acme Bakery,,,,,Bartoletti and Sons,26:06.6,26:19.3,2,5,FALSE,TRUE,1,312000,3433.666667,0.12,,1,40800000,15538.46154,1,231,231,33,24.5,609560,4.684931507,115.5,7,7,7.2782,4.447103439,,2448.6,,0.181618208,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,717102.68,87.08,500
69,60,6359,6324,7,Acme Bakery,,,,,Bartoletti and Sons,26:06.6,26:19.3,2,5,FALSE,TRUE,1,312000,3433.666667,0.12,,1,40800000,15538.46154,1,231,231,33,24.5,609560,4.684931507,115.5,7,7,7.2782,4.447103439,,2448.6,,0.181618208,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,717102.68,87.08,500
70,60,6359,6324,7,Acme Bakery,,,,,Bartoletti and Sons,26:06.6,26:19.3,2,5,FALSE,TRUE,1,312000,3433.666667,0.12,,1,40800000,15538.46154,1,231,231,33,24.5,609560,4.684931507,115.5,7,7,7.2782,4.447103439,,2448.6,,0.181618208,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,717102.68,87.08,500
71,60,6359,6324,7,Acme Bakery,,,,,Bartoletti and Sons,26:06.6,26:19.3,2,5,FALSE,TRUE,1,312000,3433.666667,0.12,,1,40800000,15538.46154,1,231,231,33,24.5,609560,4.684931507,115.5,7,7,7.2782,4.447103439,,2448.6,,0.181618208,1020 Main St,Boise,ID,83709,43.617065,-116.20592,717189.76,717102.68,87.08,500
72,61,39,1248,48,Sequoyah,9,Commercial Condos,Offices (Non-medical),,Greenholt-Strosin,33:01.8,33:10.2,2,5,FALSE,TRUE,2,60,6570,0.0878,,2,4120,14000,2,5867,3599,727,92,25649280,14.26940639,2944,5939,3599,6824.857308,6952.607308,,4193.6796,0.84,165.7877561,"23015 Edmonds Way,",Edmonds,WA,98026,47.79051,-122.35503,104038.14,26306.28,77731.86,
73,64,26,1270,49,Mando,,,,2336,"Medhurst, Erdman and Muller",30:20.8,30:35.2,2,5,FALSE,TRUE,6,357,5509.666667,0.0505,,6,595170,24000,6,63850,63850,8274,0,0,0,0,28,28,186303.0284,186303.0284,,438508.54,,42.48561007,,,,,,,3689440,271.12,3689168.88,
74,65,27,1271,49,Priority Payment Systems,,,,2336,"Medhurst, Erdman and Muller",30:05.2,30:20.4,2,5,FALSE,TRUE,5,190,2750,0.147,,5,43700,24800,5,65535,65535,2618,0,0,0,0,38,38,37249.212,37249.212,,89977.375,,41.39842044,,,,,,,253396,0,253396,
75,67,93,158,20,Idaho Innovation Center,,,,2336,"Raynor, Ritchie and Ondricka",25:54.3,26:16.6,2,5,FALSE,TRUE,15,4050,2646.6,0.0578,,15,8865450,16666.66667,15,5059,16347,2177,972.5,78449013.5,1018.571764,34922,47,126,6658.776085,6658.776085,,28610.70547,4.3,23.27372211,,,,,,,193652.752,78449.0135,115203.7385,
76,68,30,1259,50,School House Rock,55,Schools (Preschool/Elementary),Education,2216,Schimmel-Rodriguez,32:29.1,32:30.2,2,5,FALSE,TRUE,1,2,8760,0.08,,1,70,24000,1,12,12,12,0,0,0,0,1,1,294.336,294.336,,419.376,,70.18427378,,,,,,,3679.2,0,3679.2,
77,75,37,1268,49,Establishment,51,Restaurants,Food Service,2336,"Medhurst, Erdman and Muller",30:46.9,30:59.2,2,5,FALSE,TRUE,12,192,8008,0.15,,12,80640,17166.66667,12,962,962,454,254.5,24688664,112.3876124,3083,25,25,10777.1664,14010.31632,,10290.33985,0.73,136.1501809,,,,,,,96536.44,24688.664,71847.776,
