,ZipCode,Address,BldgClass,LandUse,OwnerName,LotArea,BldgArea,ComArea,OfficeArea,RetailArea,GarageArea,StrgeArea,NumFloors,UnitsRes,UnitsTotal,YearBuilt,BuiltFAR,CommFAR,XCoord,YCoord
49,11109.0,46-10 CENTER BOULEVARD,D7,4.0,4545 EAST COAST LLC,88746,1150560,172661,0,6861,165800,0,41.0,838,845,2011,12.96,2.0,996482.0,211761.0
50,11101.0,46-08 5 STREET,W1,8.0,NYC SCHOOL CONSTRUCTI,25002,92340,92340,0,0,0,0,6.0,0,1,2012,3.69,2.0,996561.0,211495.0
51,11109.0,46-15 CENTER BOULEVARD,D7,4.0,,10703,354522,1616,0,1616,0,0,41.0,363,365,2010,33.12,2.0,996432.0,211513.0
52,11101.0,46-20 5 STREET,Q1,9.0,THE PEOPLE OF THE STA,81018,1500,1500,0,0,0,0,0.0,0,1,2007,0.02,0.0,996481.0,211277.0
55,11109.0,47-20 CENTER BOULEVARD,D8,3.0,,48199,477000,17000,0,17000,0,0,32.0,495,498,2007,9.9,2.0,996027.0,211054.0
56,11109.0,4610 CENTER BOULEVARD,D8,3.0,,56547,483973,8354,0,8354,0,0,25.0,585,595,2012,8.56,2.0,996149.0,211556.0
83,11109.0,46-30 CENTER BOULEVARD,RM,4.0,EAST COAST 5 L.L.C.,30529,214774,800,0,0,0,800,18.0,184,185,2008,7.04,2.0,996177.0,211292.0
84,11101.0,44-64 45 AVENUE,E9,6.0,QUEENBEA 44-68 LLC,14075,15800,15800,1600,2300,0,11900,2.0,0,1,1953,1.12,2.0,997390.0,212100.0
85,11101.0,44-59 45 AVENUE,G1,10.0,NYC DEPT OF HIGHWAYS,42500,20000,20000,0,0,20000,0,1.0,0,1,1931,0.47,2.0,997110.0,212173.0
86,11101.0,45-10 VERNON BOULEVARD,F9,6.0,JERIST REALTY CORP,41000,17225,17225,3250,3250,3200,0,2.0,0,3,1930,0.42,2.0,997344.0,211870.0
87,11101.0,45-08 VERNON BOULEVARD,S1,4.0,45-08 VERNON BLVD LLC,2500,3250,1625,0,1625,0,0,2.0,1,2,1900,1.3,2.0,997407.0,211949.0
88,11101.0,45-06 VERNON BOULEVARD,S3,4.0,DRAGON LAND REALTY LL,2468,4444,1444,0,0,0,0,3.0,3,4,1931,1.8,2.0,997412.0,211973.0
89,11101.0,45-04 VERNON BOULEVARD,S2,4.0,DRAGON LAND REALTY,2309,4402,1402,0,0,0,0,3.0,2,3,1931,1.91,2.0,997416.0,211998.0
90,11101.0,44-68 5 STREET,E9,6.0,"PLAXALL REALTY SUB, L",202500,163000,163000,0,0,0,163000,1.0,0,4,1953,0.8,2.0,996593.0,212202.0
91,11101.0,45-58 VERNON BOULEVARD,S1,4.0,VERNON REALTY CORP,2500,2500,1250,0,1250,0,0,2.0,1,2,1880,1.0,0.0,997278.0,211449.0
92,11101.0,45-44 VERNON BOULEVARD,S5,4.0,MEIR NEWMAN LLC,2467,4975,1325,0,1325,0,0,3.0,5,6,1931,2.02,0.0,997285.0,211474.0
94,11101.0,45-40 VERNON BOULEVARD,F1,6.0,"CSC 4540 PROPERTY CO,",33150,69550,69550,0,0,0,0,4.0,0,1,1931,2.1,2.0,997236.0,211569.0
95,11101.0,45-28 VERNON BOULEVARD,E9,6.0,"CSC 4540 PROPERTY CO,",5500,5500,5500,0,0,0,5500,1.0,0,1,1931,1.0,2.0,997325.0,211634.0
96,11101.0,45-24 VERNON BOULEVARD,F1,6.0,QUEENBEA 45-28 LLC,12080,11200,11200,0,0,0,0,1.0,0,1,1964,0.93,2.0,997318.0,211705.0
97,11101.0,5-37 46 AVENUE,E1,6.0,DESIGN CENTER REALTY,23100,21000,21000,0,0,0,21000,1.0,0,2,1931,0.91,2.0,997108.0,211598.0
98,11101.0,5-29 46 AVENUE,E1,6.0,PLASTIC CENTER REALTY,69840,46600,46600,7000,0,0,0,1.0,0,1,1960,0.67,2.0,996913.0,211648.0
99,11101.0,46-18 VERNON BOULEVARD,K4,4.0,"TERIA, LLC",2500,4700,2500,0,2500,0,0,3.0,3,4,1931,1.88,0.0,997214.0,211197.0
100,11101.0,46-16 VERNON BOULEVARD,E9,6.0,PLASTIC CENTER INC,2500,3375,3375,0,0,0,3375,3.0,0,1,1900,1.35,0.0,997221.0,211221.0
103,11101.0,5-35 46 ROAD,F4,6.0,PLASTIC CENTER REALTY,52613,126980,126980,8000,0,0,0,3.0,0,4,1931,2.41,2.0,997018.0,211286.0
104,11101.0,5-21 46 ROAD,F9,6.0,DESIGN CENTER REALTY,4000,4000,4000,0,0,0,0,1.0,0,1,1939,1.0,2.0,996913.0,211313.0
105,11101.0,5-17 46 ROAD,F9,6.0,PLASTIC CENTER REALTY,16000,23000,23000,0,0,0,0,2.0,0,1,1946,1.44,2.0,996815.0,211337.0
106,11101.0,5-01 46 ROAD,E9,6.0,"DESIGN CENTER REALTY,",5000,7404,7404,1414,0,0,5990,2.0,0,1,1957,1.48,2.0,996713.0,211364.0
107,11101.0,46-01 5 STREET,F9,6.0,"DESIGN CENTER REALTY,",12500,14100,14100,0,0,0,0,2.0,0,2,1963,1.13,2.0,996774.0,211452.0
108,11101.0,5-38 46 AVENUE,F9,6.0,"OCALIC46, LLC",10037,10800,10800,0,0,0,0,2.0,0,1,1955,1.08,2.0,997054.0,211381.0
110,11101.0,46-46 VERNON BOULEVARD,S9,4.0,PLASTIC CENTER INC,2500,4550,2250,0,1150,0,0,3.0,2,4,1931,1.82,0.0,997150.0,210944.0
111,11101.0,46-44 VERNON BOULEVARD,S4,4.0,PLASTIC CENTER INC,2500,3606,1206,0,1206,0,0,3.0,4,5,1931,1.44,0.0,997157.0,210970.0
112,11101.0,46-42 VERNON BOULEVARD,S3,4.0,TLL REALTY LLC,2500,4625,2325,0,2325,0,0,3.0,3,4,1931,1.85,0.0,997163.0,210994.0
115,11101.0,5-45 47 AVENUE,F4,6.0,220 FLORAL BLVD. CORP,2500,2500,2500,0,0,0,0,1.0,0,1,1931,1.0,2.0,997074.0,211003.0
125,11101.0,5-48 46 ROAD,F9,6.0,BLOSSOM TREE LLC,11000,11250,11250,0,0,0,0,2.0,0,1,1931,1.02,2.0,997057.0,211112.0
127,11101.0,46-28 VERNON BOULEVARD,S2,4.0,SALA REALTY LLC,2500,2250,1125,0,1125,0,0,2.0,2,3,1910,0.9,0.0,997194.0,211116.0
128,11101.0,46-30 VERNON BOULEVARD,K1,5.0,JOSEPH NARGENTINO/JOS,2500,2500,2500,0,2500,0,0,1.0,0,1,1931,1.0,0.0,997187.0,211091.0
130,11101.0,46-36 VERNON BOULEVARD,S4,4.0,VINCENZO CERBONE REVO,2500,3450,1150,0,1150,0,0,3.0,4,5,1880,1.38,0.0,997175.0,211043.0
132,11101.0,47-18 VERNON BOULEVARD,S4,4.0,"ANZALONE, ANDREW",2500,5250,1750,0,1750,0,0,3.0,4,5,1900,2.1,0.0,997087.0,210692.0
133,11101.0,47-16 VERNON BOULEVARD,S4,4.0,"ANZALONE, ANDREW",2500,4875,1625,0,1625,0,0,3.0,4,5,1931,1.95,0.0,997093.0,210717.0
134,11101.0,47-14 VERNON BOULEVARD,S2,4.0,MARIA EVANGELISTA,2500,1500,750,0,750,0,0,2.0,2,3,1920,0.6,0.0,997099.0,210740.0
135,11101.0,47-12 VERNON BOULEVARD,S5,4.0,VERNON BLVD LLC,2500,3750,750,0,750,0,0,3.0,5,6,1931,1.5,0.0,997105.0,210765.0
136,11101.0,5-49 47 ROAD,O5,5.0,547 REALTY LLC,2500,8025,8025,4925,0,2500,600,3.5,0,1,2005,3.21,2.0,997035.0,210745.0
143,11101.0,5-25 47 ROAD,E9,6.0,RDG 47TH ROAD OWNER L,7500,7500,7500,2500,0,0,5000,1.0,0,1,1954,1.0,2.0,996815.0,210800.0
144,11101.0,5-21 47 ROAD,E9,6.0,"ISLAND TAPING, INC",2500,3625,3625,1125,0,0,2500,2.0,0,1,1931,1.45,2.0,996767.0,210813.0
146,11101.0,5-17 47 ROAD,F9,6.0,"SLOOP, STEPHEN",10000,12500,12500,0,0,0,0,2.0,0,1,1950,1.25,2.0,996694.0,210857.0
148,11101.0,47-17 5 STREET,K1,5.0,HOWARD AND NORMAN BAK,2500,2453,2453,0,2453,0,0,1.0,0,1,1969,0.98,2.0,996606.0,210841.0
149,11101.0,47-15 5 STREET,E1,6.0,FBCG REALTY  LLC,2500,2500,2500,0,0,0,2500,1.0,0,1,1931,1.0,2.0,996612.0,210865.0
150,11101.0,47-09 5 STREET,E9,6.0,LAC 5TH ST LLC,5000,8250,8250,3750,0,2250,0,2.0,0,1,1987,1.65,2.0,996621.0,210901.0
151,11101.0,47-05 5 STREET,D1,3.0,47-05 5TH ST LLC,5000,27500,2400,0,0,2400,0,5.5,20,20,2015,5.5,2.0,996633.0,210950.0
153,11101.0,5-16 47 AVENUE,F9,6.0,JOSEPH NANCY CORP,10000,11875,11875,1500,0,0,0,2.0,0,2,1939,1.19,2.0,996755.0,210920.0
162,11101.0,5-44 47 AVENUE,O5,5.0,MY FOUR DAUGHTERS REA,7500,15000,15000,5500,0,2600,4500,3.0,0,1,1931,2.0,2.0,997035.0,210849.0
163,11101.0,47-04 VERNON BOULEVARD,S9,4.0,JC VERNON CORP,5000,8800,3800,0,3800,0,0,3.0,6,9,1931,1.76,0.0,997127.0,210852.0
165,11101.0,47-10 VERNON BOULEVARD,S4,4.0,47-10 VERNON BOULEVAR,2500,3750,1250,0,1250,0,0,3.0,4,5,1931,1.5,0.0,997112.0,210791.0
167,11101.0,47-46 VERNON BOULEVARD,K4,4.0,GREAGHFARNA CORP,2500,8300,7500,5000,2500,0,0,3.0,1,4,1931,3.32,0.0,997023.0,210442.0
168,11101.0,47-44 VERNON BOULEVARD,S9,4.0,VERNON WALKUP CORP,2500,5875,1500,0,1500,0,0,4.0,6,8,1931,2.35,0.0,997029.0,210466.0
169,11101.0,47-42 VERNON BOULEVARD,S4,4.0,"NARDONE PROPERTIES, L",2500,4575,1275,0,1275,0,0,3.0,4,5,1931,1.83,0.0,997035.0,210489.0
170,11101.0,47-38 VERNON BOULEVARD,S9,4.0,THE HOWARD HOUSE LLC,2500,7400,1000,0,1000,0,0,4.0,6,8,1931,2.96,0.0,997041.0,210513.0
171,11101.0,5-33 48 AVENUE,D5,3.0,533 48TH LLC,13733,55463,463,0,463,0,0,5.0,40,41,1931,4.04,2.0,996818.0,210531.0
172,11101.0,47-33 5 STREET,F9,6.0,EUNHASU CORPORATION,6933,22740,22740,0,0,0,0,4.0,0,3,1931,3.28,2.0,996563.0,210685.0
174,11101.0,5-14 47 ROAD,F9,6.0,SEVENTH ST. RIVERVIE,1870,1850,1850,0,0,0,0,1.0,0,1,1931,0.99,2.0,996628.0,210699.0
176,11101.0,5-18 47 ROAD,E9,6.0,VINCO 5-18 47 RD LLC,4478,6000,4400,0,0,0,4400,2.0,2,3,1931,1.34,2.0,996693.0,210667.0
181,11101.0,5-38 47 ROAD,S1,4.0,WHITE CAT ART & TEXTI,2500,2500,1000,1000,0,0,0,1.0,1,2,1931,1.0,2.0,996897.0,210615.0
184,11101.0,47-28 VERNON BOULEVARD,S4,4.0,PATRICIA DOOLING,2500,4500,1500,0,1500,0,0,3.0,4,5,1965,1.8,0.0,997066.0,210612.0
185,11101.0,47-30 VERNON BOULEVARD,S4,4.0,"LIC BUILDING I, LLC",2500,5500,2500,0,2500,0,0,3.0,4,5,1931,2.2,0.0,997060.0,210587.0
186,11101.0,47-34 VERNON BOULEVARD,S9,4.0,ROCKSMITH GROUP LLC,2500,4500,1500,0,1500,0,0,3.0,4,6,1931,1.8,0.0,997054.0,210563.0
187,11101.0,47-36 VERNON BOULEVARD,S9,4.0,MANDY LLC,2500,4500,1500,0,1500,0,0,3.0,4,6,1931,1.8,0.0,997047.0,210538.0
188,11101.0,5-26 47 ROAD,R4,3.0,5-43 VENTURES LLC,35084,140142,26580,0,0,26580,0,8.0,121,121,2007,3.99,2.0,996641.0,210576.0
189,11101.0,5-48 47 ROAD,RM,4.0,5-43 VENTURES LLC,15000,47885,5186,0,1576,3110,500,8.0,35,37,1955,3.19,2.0,996946.0,210498.0
190,11101.0,48-20 VERNON BOULEVARD,S4,4.0,"LOUROS PROPERTIES, LL",2142,5970,1687,0,1687,0,0,4.0,4,5,1896,2.79,0.0,996957.0,210184.0
191,11101.0,48-18 VERNON BOULEVARD,S5,4.0,BENEDETTO CICILLINI,2842,7068,1068,0,1068,0,0,4.0,6,7,1931,2.49,0.0,996964.0,210211.0
193,11101.0,5-49 49 AVENUE,J9,5.0,"KOCAN, BARBARA A",2500,5000,5000,0,0,0,0,1.0,0,1,1931,2.0,2.0,996907.0,210240.0
194,11101.0,5-45 49 AVENUE,E9,6.0,MUTUAL HARDWARE CORP,7500,6300,6300,1500,0,0,4800,1.0,0,1,1931,0.84,2.0,996859.0,210252.0
207,11101.0,5-15 49 AVENUE,R2,2.0,,22800,62826,4495,0,0,4495,0,5.0,47,47,2005,2.76,2.0,996542.0,210332.0
210,11101.0,49-16 VERNON BOULEVARD,K2,5.0,TULINO REALTY INC,1875,2850,2850,0,2850,0,0,2.0,0,2,1931,1.52,0.0,996919.0,209982.0
211,11101.0,49-12 VERNON BOULEVARD,K4,4.0,CARDUCCI RITA,2500,5050,2750,0,2375,0,0,3.0,4,5,1931,2.02,0.0,996913.0,210011.0
212,11101.0,5-37 50 AVENUE,Y2,8.0,POLICE DEPARTMENT,12500,15000,15000,0,0,0,0,3.0,0,2,1931,1.2,2.0,996793.0,210001.0
213,11101.0,5-35 50 AVENUE,S4,4.0,"KARL & JUDIT, LLC",2500,5400,2500,0,2500,0,0,3.0,4,5,1931,2.16,2.0,996722.0,210019.0
214,11101.0,5-33 50 AVENUE,E9,6.0,PACK5-33 50TH AVENUE,2500,5000,5000,2500,0,0,2500,2.0,0,2,1956,2.0,2.0,996697.0,210025.0
215,11101.0,5-31 50 AVENUE,S2,4.0,"PALUMBO, SR., JOSEPH",2525,5025,2400,0,2400,0,0,3.0,2,3,1920,1.99,2.0,996673.0,210031.0
216,11101.0,5-29 50 AVENUE,S9,4.0,"ENDEAVOUR GROUP, LLC",2500,5375,1125,1125,0,0,0,3.0,3,5,1931,2.15,2.0,996648.0,210037.0
217,11101.0,5-27 50 AVENUE,K4,4.0,,2500,4050,2400,0,2400,0,0,3.0,2,3,1920,1.62,2.0,,
218,11101.0,5-23 50 AVENUE,S2,4.0,LUIGI MARRONE,3250,4550,2000,0,0,0,0,3.0,2,3,1915,1.4,2.0,996603.0,210064.0
226,11101.0,49-03 5 STREET,G2,10.0,JOHN P TITA,5000,5000,5000,200,0,4800,0,1.0,0,1,1970,1.0,2.0,996442.0,210196.0
227,11101.0,49-01 5 STREET,F4,6.0,"STUDIO JA, LLC",2500,2500,2500,0,0,0,0,1.0,0,1,1931,1.0,2.0,996451.0,210234.0
233,11101.0,        49 AVENUE,Q1,9.0,PARKS AND RECREATION,15000,150,150,0,0,0,0,1.0,0,1,1930,0.01,0.0,,
234,11101.0,49-02 VERNON BOULEVARD,K4,4.0,"MARTUCCI, DOMINIC",2500,4750,2500,875,1625,0,0,3.0,2,5,1926,1.9,0.0,996938.0,210110.0
235,11101.0,49-04 VERNON BOULEVARD,S5,4.0,"PICCA, ELIZABETH(LIFE",2500,3750,1150,0,1150,0,0,3.0,5,6,1921,1.5,0.0,996932.0,210084.0
236,11101.0,49-06 VERNON BOULEVARD,K4,4.0,PLASTIC CENTER INC,2500,4750,2500,0,2500,0,0,3.0,4,5,1930,1.9,0.0,996925.0,210059.0
237,11101.0,49-10 VERNON BOULEVARD,S5,4.0,"ADAMS, BRIAN ANTHONY",2500,4625,1175,0,1175,0,0,3.0,5,6,1931,1.85,0.0,996919.0,210035.0
238,11101.0,5-28 49 AVENUE,S2,4.0,"ENDEAVOUR GROUP, LLC",2500,5000,2500,0,2500,0,0,3.0,2,3,2014,2.0,2.0,996648.0,210142.0
239,11101.0,5-03 50 AVENUE,R4,3.0,"JSL REALTY HOLDINGS,",5625,18375,3996,0,0,3996,0,6.0,12,12,2006,3.27,2.0,996401.0,210086.0
240,11101.0,50-18 VERNON BOULEVARD,E9,6.0,50-18 REALTY CORP,5000,10000,10000,5000,0,0,5000,2.0,0,1,1931,2.0,0.0,996833.0,209697.0
241,11101.0,50-14 VERNON BOULEVARD,S2,4.0,5014 VERNON REALTY L,2500,4850,2400,0,0,0,0,3.0,2,3,1920,1.94,0.0,996843.0,209734.0
242,11101.0,50-12 VERNON BOULEVARD,S4,4.0,PRUDENT HLDG CORP,2500,3746,946,0,946,0,0,3.0,4,5,1931,1.5,0.0,996849.0,209759.0
243,11101.0,5-49 51 AVENUE,S3,4.0,PRUDENT HLDG CORP,2000,2100,525,525,0,0,0,3.0,3,4,1931,1.05,2.0,996780.0,209736.0
248,11101.0,5-37 51 AVENUE,S5,4.0,5-35 51ST AVENUE LLC,2500,6227,2004,0,1408,0,596,4.0,5,6,2008,2.49,2.0,996681.0,209761.0
249,11101.0,5-35 51 AVENUE,S5,4.0,,2500,6227,2004,0,1408,0,596,4.0,5,6,2008,2.49,2.0,996657.0,209768.0
250,11101.0,5-33 51 AVENUE,S5,4.0,5-35 51ST AVENUE LLC,2500,6227,2004,0,1408,0,596,4.0,5,6,2008,2.49,2.0,996633.0,209774.0
254,11101.0,50-17 5 STREET,L9,6.0,5017 LLC,7500,18000,4500,4500,0,0,0,3.0,6,7,1960,2.4,2.0,996365.0,209816.0
255,11101.0,50-13 5 STREET,W9,8.0,DESIGN CENTER INC,2500,2500,2500,0,0,0,0,1.0,0,1,1958,1.0,2.0,996356.0,209858.0
260,11101.0,5-18 50 AVENUE,F9,6.0,"VARLESE, TRUSTEE, FRA",2500,2500,2500,0,0,0,0,1.0,0,1,1953,1.0,2.0,996488.0,209916.0
261,11101.0,5-20 50 AVENUE,F5,6.0,AYJAY LIMITED PARTNER,2500,2500,2500,0,0,0,0,1.0,0,1,1931,1.0,2.0,996512.0,209910.0
262,11101.0,5-22 50 AVENUE,S2,4.0,"VARLESE, MARISA",2500,4500,1500,0,1500,0,0,3.0,2,3,1920,1.8,2.0,996536.0,209904.0
267,11101.0,5-34 50 AVENUE,S2,4.0,JOSEPH PALUMBO,2500,2891,1141,0,1141,0,0,3.0,2,3,1900,1.16,2.0,996658.0,209873.0
268,11101.0,5-36 50 AVENUE,F9,6.0,DOLUCE REALTY CORP,2500,2500,2500,0,0,0,0,1.0,0,1,1931,1.0,2.0,996682.0,209867.0
269,11101.0,5-44 50 AVENUE,F2,6.0,DOLUCE REALTY CORP,5000,10000,10000,1250,0,0,0,2.0,0,5,1968,2.0,2.0,996718.0,209858.0
270,11101.0,5-46 50 AVENUE,S3,4.0,CITYSONNET LLC,2500,5190,1450,0,1450,0,0,3.0,3,4,1931,2.08,2.0,996754.0,209849.0
271,11101.0,5-48 50 AVENUE,F4,6.0,REVESZ KARL,2500,3750,3750,0,0,0,0,2.0,0,1,1931,1.5,2.0,996779.0,209842.0
273,11101.0,50-02 VERNON BOULEVARD,S9,4.0,VENTURE EQUIPMENT CP,5000,4810,2360,0,2360,0,0,3.0,3,6,1931,0.96,0.0,996870.0,209845.0
274,11101.0,50-08 VERNON BOULEVARD,G6,10.0,VENTURE EQUIPMENT CP,2500,90,90,90,0,0,0,1.0,0,1,0,0.04,0.0,996861.0,209807.0
275,11101.0,50-10 VERNON BOULEVARD,G6,10.0,VENTURE EQUIPMENT CP,2500,600,600,0,600,0,0,1.0,0,1,1930,0.24,0.0,996855.0,209783.0
277,11101.0,50-01 50 AVENUE,RM,4.0,"JSL REALTY HOLDINGS,",7500,17762,7764,2254,3256,0,0,4.0,7,10,1971,2.37,2.0,996395.0,209965.0
278,11101.0,5-21 51 AVENUE,R4,3.0,,10538,22991,3186,0,0,3186,0,5.0,27,27,2012,2.18,2.0,996550.0,209795.0
280,11101.0,5-06 51 AVENUE,E9,6.0,HATOV VHMATIV REALEST,19000,37946,37946,18973,0,0,0,2.0,0,2,1963,2.0,2.0,996302.0,209646.0
282,11101.0,5-14 51 AVENUE,K4,4.0,"SAU HO, LLC",5000,19580,19580,7280,7500,2500,0,3.0,0,3,2000,3.92,2.0,996412.0,209666.0
286,11101.0,5-28 51 AVENUE,E1,6.0,SMOKESTACKS COMPANY,2500,3800,3800,1300,0,0,2500,2.0,0,1,1972,1.52,2.0,996521.0,209638.0
295,11101.0,5-50 51 AVENUE,F1,6.0,DM SINCLAIR PROPERTIE,2500,2500,2500,0,0,0,0,1.0,0,1,1931,1.0,2.0,996739.0,209583.0
297,11101.0,51-02 VERNON BOULEVARD,K4,4.0,POPS PACK LLC,2000,6000,4000,2000,2000,0,0,3.0,2,6,1931,3.0,5.0,996819.0,209602.0
298,11101.0,51-04 VERNON BOULEVARD,O8,5.0,"POPS PACK, LLC",1920,2560,1560,1560,0,0,0,2.0,1,2,1931,1.33,5.0,996813.0,209577.0
299,11101.0,51-06 VERNON BOULEVARD,K2,5.0,HO FOO LEE LLC,2000,3126,3126,1313,1813,0,0,2.0,0,2,1920,1.56,5.0,996807.0,209554.0
301,11101.0,5-49 BORDEN AVENUE,R4,3.0,,25518,130984,10346,0,0,4000,0,12.0,132,157,2008,5.13,5.0,996648.0,209504.0
302,11101.0,5-25 BORDEN AVENUE,R4,3.0,,15750,96065,6650,0,0,6650,0,12.0,76,76,2010,6.1,5.0,996424.0,209563.0
303,11101.0,54-08 VERNON BOULEVARD,E1,6.0,VERNON ASSOCIATES,68450,51500,51500,6600,0,0,0,1.0,0,6,1967,0.75,2.0,996456.0,208863.0
305,11101.0,5-02 54 AVENUE,G1,10.0,5-02 54 LLC,30104,7300,7300,0,0,0,0,1.0,0,1,1940,0.24,2.0,996099.0,208844.0
308,11101.0,10-04 BORDEN AVENUE,G6,10.0,GLEN GARDEN CORP,23890,500,500,0,0,0,0,1.0,0,2,1930,0.02,2.0,997074.0,209243.0
309,11101.0,10-40 BORDEN AVENUE,F9,6.0,"AEC REALTY HOLDINGS,",16667,15000,15000,1000,0,0,0,1.0,0,2,1960,0.9,2.0,997338.0,209176.0
310,11101.0,53-01 VERNON BOULEVARD,E1,6.0,"SCHUMAN PROPERTIES,IN",81400,25500,25500,0,0,12000,0,1.0,0,3,1931,0.31,2.0,997006.0,208962.0
311,11101.0,53-17 VERNON BOULEVARD,E1,6.0,SCHUMAN PROPERTIES DI,6300,16551,16551,3958,0,0,12593,2.0,0,1,1998,2.63,2.0,,
312,11101.0,53-21 VERNON BOULEVARD,E1,6.0,SCHUMAN PROPERTIES IN,6300,16550,16550,3958,0,0,12592,2.0,0,1,1998,2.63,2.0,,
313,11101.0,53-02 11 STREET,O5,5.0,LUSA REALTY CORP,62170,20550,20550,6000,0,6000,0,2.0,0,4,1931,0.33,2.0,997266.0,208911.0
319,11101.0,11-58 BORDEN AVENUE,F9,6.0,"51-02 21ST REALTY, LL",28368,136500,136500,0,0,0,20000,7.0,0,10,1916,4.81,2.0,998036.0,209187.0
321,11101.0,10-55 51 AVENUE,G1,10.0,MTA B&T,21300,35150,35150,0,0,35150,0,2.0,0,1,1948,1.65,2.0,997499.0,209609.0
330,11101.0,10-28 JACKSON AVENUE,D9,3.0,1030 JACKSON AVE,4050,24464,1500,0,1500,0,0,7.0,24,25,2005,6.04,0.0,997206.0,209605.0
331,11101.0,10-40 JACKSON AVENUE,P9,8.0,FAILTE CARE CORPORATI,2704,9548,9548,1515,0,0,0,3.0,0,3,1931,3.53,0.0,997262.0,209641.0
