,Unnamed: 0,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,facility_type_lcm,facility_type_lcm_new,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings,sqft,sqft_new,max_kwh_cost_simple_new,LIGHTING_INTENSITY
11,11,29,11,1231,33,Amfor,25.0,Industrial - 1 Shift,Other,Retail - Mall & Non-Mall,2249.0,Parisian and Sons,34:51.6,34:52.9,2.0,5,False,True,1,1,8760.0,0.0645,,1,18.0,24000.0,1,18,18,18.0,0.0,0.0,0.0,0.0,1,1,183.06648,183.06648,,190.8,,95.94679245,Lagoon,Portland,OR,97217.0,45.507853999999995,-122.69079599999999,2838.24,0.0,2838.24,20000.0,20000.0,0.1,0.14191199999999998
12,12,30,79,1232,30,Staubers Goal Crease,59.0,Sports Arena,Public assembly,Retail - Mall & Non-Mall,2357.0,"Bauch, Morar and Lakin",47:07.1,47:08.2,2.0,5,False,True,1,1,3120.0,0.1,,1,435.0,10000.0,1,36,36,36.0,185.0,20779200.0,24.03846154,6660.0,1,1,2808.0,2808.0,,24351.16446,8.67,11.53127607,7401 Washington Ave. South,Edina,MN,55439.0,44.868103000000005,-93.39780400000001,48859.2,20779.2,28080.0,,10000.0,0.961,4.88592
13,13,34,14,1241,7,Acme Carwash,10.0,Convenience Stores,Food Sales,Retail - Mall & Non-Mall,,Bartoletti and Sons,13:49.7,13:52.2,2.0,5,False,True,2,9,8760.0,0.12,,2,3618.0,10333.33333,2,127,127,46.0,0.0,0.0,0.0,0.0,5,5,4234.2336,4234.2336,,556.5,,760.8685714,1234 Main,Boise,ID,83702.0,43.618342999999996,-116.2084,59200.08,23914.8,35285.28,100.0,100.0,0.0718,592.0008
14,14,34,14,1241,7,Acme Carwash,10.0,Convenience Stores,Food Sales,Retail - Mall & Non-Mall,,Bartoletti and Sons,13:49.7,13:52.2,2.0,5,False,True,2,9,8760.0,0.12,,2,3618.0,10333.33333,2,127,127,46.0,0.0,0.0,0.0,0.0,5,5,4234.2336,4234.2336,,556.5,,760.8685714,1234 Main,Boise,ID,83702.0,43.618342999999996,-116.2084,59200.08,23914.8,35285.28,500.0,500.0,0.07,118.40016000000001
15,15,37,17,1223,18,UFC,52.0,Retail,Retail - Mall & Non-Mall,Retail - Mall & Non-Mall,,Hudson LLC,35:17.2,35:19.0,2.0,5,False,True,1,2,4200.0,0.9,,1,160.0,24000.0,1,344,344,344.0,0.0,0.0,0.0,0.0,1,1,10853.3376,10853.3376,,5848.0,,185.59058819999998,,,,,,,115584.0,0.0,115584.0,18000.0,18000.0,0.085,6.421333333
16,16,39,16,1240,39,Project B-1,,,,Public assembly,2239.0,Gerlach Inc,54:28.2,54:29.6,2.0,5,False,True,1,4,8760.0,0.12,,1,640.0,24000.0,1,3750,3750,1250.0,0.0,0.0,0.0,0.0,3,3,210240.0,215140.5776,,418750.0,,51.37685435,,,,,,,1752000.0,0.0,1752000.0,10000.0,10000.0,0.085,175.2
17,17,39,16,1240,39,Project B-1,,,,Offices (Non-medical),2239.0,Gerlach Inc,54:28.2,54:29.6,2.0,5,False,True,1,4,8760.0,0.12,,1,640.0,24000.0,1,3750,3750,1250.0,0.0,0.0,0.0,0.0,3,3,210240.0,215140.5776,,418750.0,,51.37685435,,,,,,,1752000.0,0.0,1752000.0,1000.0,1000.0,0.069,1752.0
18,18,39,16,1240,39,Project B-1,,,,Education,2239.0,Gerlach Inc,54:28.2,54:29.6,2.0,5,False,True,1,4,8760.0,0.12,,1,640.0,24000.0,1,3750,3750,1250.0,0.0,0.0,0.0,0.0,3,3,210240.0,215140.5776,,418750.0,,51.37685435,,,,,,,1752000.0,0.0,1752000.0,3000.0,3000.0,0.085,584.0
19,19,43,18,1237,40,Test,,,,Food Service,2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,7000.0,7000.0,0.063,0.21024
20,20,43,18,1237,40,Test,,,,Offices (Non-medical),2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,27.0,27.0,0.063,54.50666667
21,21,43,18,1237,40,Test,,,,Public assembly,2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,250000.0,250000.0,0.0718,0.00588672
22,22,43,18,1237,40,Test,,,,Offices (Non-medical),2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,720.0,720.0,0.15,2.044
23,23,43,18,1237,40,Test,,,,Public assembly,2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,700.0,700.0,0.085,2.1024
24,24,43,18,1237,40,Test,,,,Offices (Non-medical),2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,50000.0,50000.0,0.961,0.0294336
25,25,43,18,1237,40,Test,,,,Offices (Non-medical),2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,10000.0,10000.0,0.1,0.147168
26,26,43,18,1237,40,Test,,,,Public assembly,2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,100000.0,100000.0,0.18447,0.0147168
27,27,43,18,1237,40,Test,,,,Public assembly,2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,9000.0,9000.0,0.1,0.16352
28,28,43,18,1237,40,Test,,,,Religious worship,2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,25000.0,25000.0,0.085,0.0588672
29,29,43,18,1237,40,Test,,,,Other,2239.0,Brakus Group,34:41.4,34:42.7,2.0,5,False,True,1,2,8760.0,,,1,84.0,20000.0,1,8,4,2.0,0.0,0.0,0.0,0.0,4,2,0.0,0.0,,148.4,,0.0,,,,,,,1471.68,0.0,1471.68,225.0,225.0,0.079,6.5408
30,30,44,19,1239,7,Acme Retail,52.0,Retail,Retail - Mall & Non-Mall,Offices (Non-medical),,Bartoletti and Sons,28:12.7,28:15.3,2.0,5,False,True,3,12,2040.0,0.1,,3,4716.0,4000.0,3,48,48,20.0,112.0,1060800.0,73.52941176,520.0,5,5,378.42,378.42,,1798.37865,,21.04228717,,,,,,,4845.0,1060.8,3784.2,50000.0,50000.0,0.1,0.0969
31,31,44,19,1239,7,Acme Retail,52.0,Retail,Retail - Mall & Non-Mall,Other,,Bartoletti and Sons,28:12.7,28:15.3,2.0,5,False,True,3,12,2040.0,0.1,,3,4716.0,4000.0,3,48,48,20.0,112.0,1060800.0,73.52941176,520.0,5,5,378.42,378.42,,1798.37865,,21.04228717,,,,,,,4845.0,1060.8,3784.2,25000.0,25000.0,0.0649,0.1938
32,32,44,19,1239,7,Acme Retail,52.0,Retail,Retail - Mall & Non-Mall,Services,,Bartoletti and Sons,28:12.7,28:15.3,2.0,5,False,True,3,12,2040.0,0.1,,3,4716.0,4000.0,3,48,48,20.0,112.0,1060800.0,73.52941176,520.0,5,5,378.42,378.42,,1798.37865,,21.04228717,,,,,,,4845.0,1060.8,3784.2,20000.0,20000.0,0.1,0.24225
33,33,44,19,1239,7,Acme Retail,52.0,Retail,Retail - Mall & Non-Mall,Services,,Bartoletti and Sons,28:12.7,28:15.3,2.0,5,False,True,3,12,2040.0,0.1,,3,4716.0,4000.0,3,48,48,20.0,112.0,1060800.0,73.52941176,520.0,5,5,378.42,378.42,,1798.37865,,21.04228717,,,,,,,4845.0,1060.8,3784.2,500.0,500.0,0.0446,9.69
34,34,47,20,1234,42,Carver County Building Courts,,,,Services,,Ankunding-Bogan,34:47.3,34:48.4,2.0,5,False,True,1,1,8760.0,0.08,,1,19.0,24000.0,1,50,50,50.0,0.0,0.0,0.0,0.0,50,50,665.76,665.76,,412.5,,161.3963636,,,,,,,8322.0,0.0,8322.0,3000.0,3000.0,0.085,2.7739999999999996
35,35,49,22,1238,45,test,,,,Services,2217.0,Smitham and Sons,34:40.2,34:41.3,2.0,5,False,True,1,1,8760.0,,,1,458.0,10000.0,1,20,20,20.0,185.0,32412000.0,8.561643836,3700.0,25,25,0.0,0.0,,5600.0,,0.0,,,,,,,80241.6,32412.0,47829.6,20000.0,20000.0,0.079,4.01208
36,36,54,29,1367,20,YMCA - Idaho Falls,17.0,Exercise Center,Public assembly,Food Service,2336.0,"Raynor, Ritchie and Ondricka",08:11.4,08:38.7,2.0,5,False,True,15,1740,3799.5,0.053,,15,2100180.0,19866.66667,15,10254,22112,1019.0,944.5,76431762.0,588.2352941,15138.0,70,171,5317.955181,5317.955181,,12821.56,2.41,41.4766626,155 N Corner St,Idaho Falls,ID,83402.0,43.488170000000004,-112.03451000000001,176770.539,76431.762,100338.77699999999,,100.0,0.063,1767.7053899999999
37,37,60,733,297,7,Acme Bakery,,,,Health care - Outpatient,,Bartoletti and Sons,26:42.0,26:56.0,2.0,5,False,True,34,312000,3433.666667,0.12,,34,1387200000.0,15538.46154,34,2629,2851,934.0,1391.0,105286960.0,1115.491184,16414.0,92,119,30198.6044,23813.62175,5000.0,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1329419.24,952065.42,377353.82,500.0,500.0,0.069,2658.83848
38,38,60,733,297,7,Acme Bakery,,,,Lodging,,Bartoletti and Sons,26:42.0,26:56.0,2.0,5,False,True,34,312000,3433.666667,0.12,,34,1387200000.0,15538.46154,34,2629,2851,934.0,1391.0,105286960.0,1115.491184,16414.0,92,119,30198.6044,23813.62175,5000.0,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1329419.24,952065.42,377353.82,500.0,500.0,0.961,2658.83848
39,39,60,733,297,7,Acme Bakery,,,,Warehouse and storage,,Bartoletti and Sons,26:42.0,26:56.0,2.0,5,False,True,34,312000,3433.666667,0.12,,34,1387200000.0,15538.46154,34,2629,2851,934.0,1391.0,105286960.0,1115.491184,16414.0,92,119,30198.6044,23813.62175,5000.0,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1329419.24,952065.42,377353.82,500.0,500.0,0.085,2658.83848
40,40,60,733,297,7,Acme Bakery,,,,Other,,Bartoletti and Sons,26:42.0,26:56.0,2.0,5,False,True,34,312000,3433.666667,0.12,,34,1387200000.0,15538.46154,34,2629,2851,934.0,1391.0,105286960.0,1115.491184,16414.0,92,119,30198.6044,23813.62175,5000.0,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1329419.24,952065.42,377353.82,500.0,500.0,0.0446,2658.83848
41,41,60,733,297,7,Acme Bakery,,,,Warehouse and storage,,Bartoletti and Sons,26:42.0,26:56.0,2.0,5,False,True,34,312000,3433.666667,0.12,,34,1387200000.0,15538.46154,34,2629,2851,934.0,1391.0,105286960.0,1115.491184,16414.0,92,119,30198.6044,23813.62175,5000.0,125596.5786,8.07,18.96040642,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1329419.24,952065.42,377353.82,500.0,500.0,0.045,2658.83848
42,42,60,1048,525,7,Acme Bakery,,,,Services,,Bartoletti and Sons,26:29.5,26:40.1,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,10,20,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10398.0408,7939.680022,100.0,3708.89,0.47,214.07159610000002,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1417257.34,117222.9,500.0,500.0,0.085,3068.96048
43,43,60,1048,525,7,Acme Bakery,,,,Health care - Inpatient,,Bartoletti and Sons,26:29.5,26:40.1,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,10,20,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10398.0408,7939.680022,100.0,3708.89,0.47,214.07159610000002,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1417257.34,117222.9,500.0,500.0,0.05094,3068.96048
44,44,60,1048,525,7,Acme Bakery,,,,Retail - Mall & Non-Mall,,Bartoletti and Sons,26:29.5,26:40.1,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,10,20,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10398.0408,7939.680022,100.0,3708.89,0.47,214.07159610000002,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1417257.34,117222.9,500.0,500.0,0.085,3068.96048
45,45,60,1048,525,7,Acme Bakery,,,,Public assembly,,Bartoletti and Sons,26:29.5,26:40.1,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,10,20,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10398.0408,7939.680022,100.0,3708.89,0.47,214.07159610000002,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1417257.34,117222.9,500.0,500.0,0.063,3068.96048
46,46,60,1048,525,7,Acme Bakery,,,,Services,,Bartoletti and Sons,26:29.5,26:40.1,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,10,20,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10398.0408,7939.680022,100.0,3708.89,0.47,214.07159610000002,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1417257.34,117222.9,500.0,500.0,0.052000000000000005,3068.96048
47,47,60,1346,594,7,Acme Bakery,,,,Offices (Non-medical),,Bartoletti and Sons,26:20.3,26:30.7,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,79,89,66.0,147.0,6812220.0,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1137511.62,396968.62,500.0,500.0,0.079,3068.96048
48,48,60,1346,594,7,Acme Bakery,,,,Other,,Bartoletti and Sons,26:20.3,26:30.7,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,79,89,66.0,147.0,6812220.0,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1137511.62,396968.62,500.0,500.0,0.18447,3068.96048
49,49,60,1346,594,7,Acme Bakery,,,,Retail - Mall & Non-Mall,,Bartoletti and Sons,26:20.3,26:30.7,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,79,89,66.0,147.0,6812220.0,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1137511.62,396968.62,500.0,500.0,0.069,3068.96048
50,50,60,1346,594,7,Acme Bakery,,,,Food Sales,,Bartoletti and Sons,26:20.3,26:30.7,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,79,89,66.0,147.0,6812220.0,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1137511.62,396968.62,500.0,500.0,0.069,3068.96048
51,51,60,1346,594,7,Acme Bakery,,,,Retail - Mall & Non-Mall,,Bartoletti and Sons,26:20.3,26:30.7,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,79,89,66.0,147.0,6812220.0,30.66092963,1019.5,8,10,30027.0046,20866.02612,,39582.49228,,52.71529134,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534480.24,1137511.62,396968.62,500.0,500.0,0.085,3068.96048
52,52,60,1687,608,7,Acme Bakery,,,,Retail - Mall & Non-Mall,,Bartoletti and Sons,26:20.2,26:30.7,2.0,5,False,True,22,312000,3433.666667,0.12,,22,897600000.0,15538.46154,22,3586,4902,831.0,611.0,59444360.0,548.8145416,8557.0,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534060.24,1016280.7,517779.54,500.0,500.0,0.085,3068.12048
53,53,60,1687,608,7,Acme Bakery,,,,Food Sales,,Bartoletti and Sons,26:20.2,26:30.7,2.0,5,False,True,22,312000,3433.666667,0.12,,22,897600000.0,15538.46154,22,3586,4902,831.0,611.0,59444360.0,548.8145416,8557.0,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534060.24,1016280.7,517779.54,500.0,500.0,0.961,3068.12048
54,54,60,1687,608,7,Acme Bakery,,,,Food Sales,,Bartoletti and Sons,26:20.2,26:30.7,2.0,5,False,True,22,312000,3433.666667,0.12,,22,897600000.0,15538.46154,22,3586,4902,831.0,611.0,59444360.0,548.8145416,8557.0,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534060.24,1016280.7,517779.54,500.0,500.0,0.07,3068.12048
55,55,60,1687,608,7,Acme Bakery,,,,Religious worship,,Bartoletti and Sons,26:20.2,26:30.7,2.0,5,False,True,22,312000,3433.666667,0.12,,22,897600000.0,15538.46154,22,3586,4902,831.0,611.0,59444360.0,548.8145416,8557.0,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534060.24,1016280.7,517779.54,500.0,500.0,0.15,3068.12048
56,56,60,1687,608,7,Acme Bakery,,,,Services,,Bartoletti and Sons,26:20.2,26:30.7,2.0,5,False,True,22,312000,3433.666667,0.12,,22,897600000.0,15538.46154,22,3586,4902,831.0,611.0,59444360.0,548.8145416,8557.0,65,86,40358.8164,29732.60658,,48675.37761,2.61,61.08346363,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,1534060.24,1016280.7,517779.54,500.0,500.0,0.0,3068.12048
57,57,60,4661,4626,7,Acme Bakery,,,,Retail - Mall & Non-Mall,,Bartoletti and Sons,26:08.7,26:20.0,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,56,66,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10290.4674,7871.309572,100.0,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,717189.76,601172.68,116017.08,500.0,500.0,0.15,1434.37952
58,58,60,4661,4626,7,Acme Bakery,,,,Religious worship,,Bartoletti and Sons,26:08.7,26:20.0,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,56,66,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10290.4674,7871.309572,100.0,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,717189.76,601172.68,116017.08,500.0,500.0,0.18447,1434.37952
59,59,60,4661,4626,7,Acme Bakery,,,,Offices (Non-medical),,Bartoletti and Sons,26:08.7,26:20.0,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,56,66,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10290.4674,7871.309572,100.0,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,717189.76,601172.68,116017.08,500.0,500.0,0.0446,1434.37952
60,60,60,4661,4626,7,Acme Bakery,,,,Offices (Non-medical),,Bartoletti and Sons,26:08.7,26:20.0,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,56,66,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10290.4674,7871.309572,100.0,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,717189.76,601172.68,116017.08,500.0,500.0,0.085,1434.37952
61,61,60,4661,4626,7,Acme Bakery,,,,Education,,Bartoletti and Sons,26:08.7,26:20.0,2.0,5,False,True,7,312000,3433.666667,0.12,,7,285600000.0,15538.46154,7,56,66,43.0,47.0,2432220.0,19.24540452,519.5,8,10,10290.4674,7871.309572,100.0,4362.6132,0.55,180.4264832,1020 Main St,Boise,ID,83709.0,43.617065000000004,-116.20591999999999,717189.76,601172.68,116017.08,500.0,500.0,0.069,1434.37952
